Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths,Cluster
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Haodong,EDward Gaming,"cypher, omen, viper",211,0.9935252263906856,152.0,0.79,71.0,128.8551123143957,0.53,0.35,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,20,111,140,74,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,ICEKING,TYLOO,"cypher, kayo, viper",81,0.9935252263906856,208.0,0.89,71.0,128.8551123143957,0.69,0.31,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,23,56,63,25,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Kai,Trace Esports,"cypher, jett, killjoy",336,0.9935252263906856,222.0,1.26,71.0,128.8551123143957,0.82,0.15,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,31,277,220,52,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Knight,Bilibili Gaming,"breach, cypher, kayo, killjoy",202,0.9935252263906856,223.0,1.15,71.0,128.8551123143957,0.78,0.36,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,24,157,136,72,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Life,FunPlus Phoenix,"chamber, jett, reyna, yoru",250,0.9935252263906856,236.0,1.14,71.0,128.8551123143957,0.84,0.17,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,28,209,184,43,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Rb,Titan Esports Club,"cypher, fade, killjoy, raze",297,0.9935252263906856,234.0,1.2,71.0,128.8551123143957,0.84,0.24,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,29,250,209,70,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,LockM,Titan Esports Club,"sova, viper",297,0.9935252263906856,182.0,0.86,71.0,128.8551123143957,0.62,0.27,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,25,184,215,80,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Lysoar,FunPlus Phoenix,"cypher, viper",250,0.9935252263906856,169.0,0.92,71.0,128.8551123143957,0.59,0.25,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,20,147,159,63,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,MarT1n,JDG Esports,"killjoy, viper",163,0.9935252263906856,199.0,0.93,71.0,128.8551123143957,0.67,0.13,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,22,109,117,22,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Nicc,Dragon Ranger Gaming,"breach, gekko, kayo, skye",151,0.9935252263906856,196.0,1.04,71.0,128.8551123143957,0.71,0.44,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,21,107,103,67,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Ninebody,TYLOO,"phoenix, raze",81,0.9935252263906856,232.0,1.03,71.0,128.8551123143957,0.78,0.38,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,22,63,61,31,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,OBONE,Nova Esports,omen,124,0.9935252263906856,163.0,0.75,71.0,128.8551123143957,0.56,0.34,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,18,70,93,42,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,PangH,Nova Esports,"jett, killjoy, raze",124,0.9935252263906856,156.0,0.69,71.0,128.8551123143957,0.54,0.13,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,25,67,97,16,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,LuoK1ng,TYLOO,omen,81,0.9935252263906856,208.0,1.02,71.0,128.8551123143957,0.75,0.3,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,23,61,60,24,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Smoggy,EDward Gaming,"breach, kayo, raze",211,0.9935252263906856,188.0,0.99,71.0,128.8551123143957,0.66,0.46,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,20,139,140,97,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Flex1n,Trace Esports,"omen, viper",336,0.9935252263906856,205.0,1.03,71.0,128.8551123143957,0.71,0.39,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,27,240,232,130,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,pl1xx,Wolves Esports,"kayo, phoenix, viper, yoru",157,0.9935252263906856,216.0,1.04,71.0,128.8551123143957,0.75,0.35,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,21,117,112,55,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,kawaii,Titan Esports Club,"astra, brimstone, omen, viper",297,0.9935252263906856,194.0,0.98,71.0,128.8551123143957,0.7,0.38,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,30,207,211,113,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,monk,All Gamers,"breach, harbor, killjoy",86,0.9935252263906856,189.0,0.83,71.0,128.8551123143957,0.66,0.19,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,18,57,69,16,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,nizhaoTZH,Dragon Ranger Gaming,"brimstone, omen, viper",151,0.9935252263906856,192.0,1.06,71.0,128.8551123143957,0.72,0.38,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,22,108,102,57,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,nobody,EDward Gaming,"skye, sova",211,0.9935252263906856,213.0,1.09,71.0,128.8551123143957,0.75,0.25,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,27,159,146,53,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,FengF,Trace Esports,"cypher, raze, sova",336,0.9935252263906856,253.0,1.18,71.0,128.8551123143957,0.84,0.29,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,40,283,240,98,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,o0o0o,Nova Esports,"breach, raze, viper",124,0.9935252263906856,187.0,0.87,71.0,128.8551123143957,0.69,0.27,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,23,86,99,34,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,stew,JDG Esports,"jett, raze",163,0.9935252263906856,266.0,1.32,71.0,128.8551123143957,0.93,0.18,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,35,152,115,30,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,sword9,All Gamers,"kayo, sova",86,0.9935252263906856,161.0,0.75,71.0,128.8551123143957,0.53,0.31,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,13,46,61,27,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,whzy,Bilibili Gaming,"jett, raze",202,0.9935252263906856,245.0,1.15,71.0,128.8551123143957,0.85,0.19,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,25,172,149,38,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,vo0kashu,Dragon Ranger Gaming,"cypher, killjoy",151,0.9935252263906856,249.0,1.18,71.0,128.8551123143957,0.87,0.28,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,27,132,112,42,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,CHICHOO,EDward Gaming,"brimstone, cypher, killjoy, viper",211,0.9935252263906856,212.0,1.11,71.0,128.8551123143957,0.76,0.23,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,24,161,145,49,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,CB,Nova Esports,"breach, fade, skye, sova",124,0.9935252263906856,174.0,0.73,71.0,128.8551123143957,0.56,0.38,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,17,69,94,47,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Biank,Bilibili Gaming,"fade, skye, sova",202,0.9935252263906856,191.0,0.88,71.0,128.8551123143957,0.62,0.3,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,19,126,143,61,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,BerLIN,FunPlus Phoenix,"astra, harbor, omen",250,0.9935252263906856,186.0,1.0,71.0,128.8551123143957,0.66,0.34,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,26,165,165,84,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,B3ar,Bilibili Gaming,"brimstone, harbor, omen",202,0.9935252263906856,132.0,0.74,71.0,128.8551123143957,0.47,0.44,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,14,95,129,88,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Autumn,FunPlus Phoenix,"jett, phoenix, raze, yoru",250,0.9935252263906856,216.0,1.09,71.0,128.8551123143957,0.74,0.18,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,25,186,170,45,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Abo,Titan Esports Club,"jett, raze",297,0.9935252263906856,197.0,0.92,71.0,128.8551123143957,0.69,0.15,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,28,206,225,45,0,0,Normal Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,AAK,TYLOO,"cypher, jett",81,0.9935252263906856,173.0,0.83,71.0,128.8551123143957,0.67,0.19,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,19,54,65,15,0,0,Under Perform
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Dingwei,Dragon Ranger Gaming,"skye, sova, viper",151,0.9935252263906856,160.0,0.77,71.0,128.8551123143957,0.54,0.3,0.0971566224325923,0.0994073353356741,26.0,33.0,0/2,18,82,107,45,0,0,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,something,Paper Rex,"gekko, jett, reyna",366,1.06,213.0,1.08,70.0,137.0,0.75,0.22,0.15,0.11,25.0,14.0,6/42,24,274,254,79,54,42,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,sh1n,Karmine Corp,"astra, omen, sage",157,0.96,178.0,0.98,81.0,110.0,0.64,0.36,0.06,0.06,30.0,11.0,3/28,21,101,103,56,9,10,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,t3xture,Gen.G,"jett, raze",328,1.03,224.0,1.07,71.0,144.0,0.8,0.16,0.16,0.13,24.0,17.0,4/23,22,264,246,53,54,41,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,d4v41,Paper Rex,"fade, omen, sage, skye, viper",366,0.98,182.0,0.9,70.0,122.0,0.64,0.39,0.04,0.05,28.0,13.0,8/62,25,234,259,143,16,17,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,tuyz,LOUD,"harbor, omen, viper",250,1.21,190.0,1.29,74.0,128.0,0.74,0.32,0.05,0.05,30.0,11.0,4/37,22,186,144,80,13,12,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,zekken,Sentinels,"jett, raze",421,1.15,260.0,1.21,74.0,167.0,0.9,0.21,0.23,0.19,22.0,17.0,5/30,32,381,314,90,96,81,Best Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,saadhak,LOUD,"kayo, killjoy, skye, sova",250,1.01,191.0,0.99,73.0,128.0,0.65,0.38,0.09,0.13,17.0,17.0,4/23,21,162,163,94,22,33,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,tomaszy,Karmine Corp,"fade, omen, viper",157,0.75,139.0,0.66,63.0,98.0,0.46,0.29,0.04,0.09,32.0,27.0,4/15,15,73,110,46,7,14,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,f0rsakeN,Paper Rex,"cypher, fade, harbor, kayo, raze, skye, yoru",366,1.04,216.0,1.02,69.0,140.0,0.75,0.36,0.12,0.1,30.0,20.0,5/25,25,273,268,132,44,38,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,paTiTek,Team Heretics,"kayo, viper",130,0.76,150.0,0.65,71.0,100.0,0.47,0.48,0.09,0.08,16.0,33.0,0/7,14,61,94,63,12,10,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,mindfreak,Paper Rex,"brimstone, omen, viper",366,0.84,163.0,0.84,66.0,108.0,0.59,0.23,0.03,0.1,37.0,4.0,2/49,21,217,258,83,12,35,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,cauanzin,LOUD,"breach, sova",250,1.05,223.0,1.1,74.0,143.0,0.78,0.29,0.1,0.1,25.0,7.0,1/15,22,195,178,72,24,25,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,benjyfishy,Team Heretics,"cypher, killjoy, viper",130,1.06,217.0,1.12,72.0,140.0,0.78,0.23,0.11,0.09,29.0,13.0,2/15,24,101,90,30,14,12,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,ZmjjKK,EDward Gaming,"jett, kayo, raze",154,1.07,252.0,1.08,69.0,164.0,0.88,0.25,0.19,0.11,25.0,14.0,2/14,30,135,125,39,29,17,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Zellsis,Sentinels,"brimstone, kayo, killjoy, viper",421,0.98,188.0,0.93,72.0,122.0,0.62,0.41,0.06,0.08,19.0,14.0,6/43,21,263,282,172,26,34,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,TenZ,Sentinels,"gekko, kayo, omen",421,1.07,208.0,1.05,77.0,131.0,0.75,0.54,0.09,0.08,29.0,27.0,8/30,25,314,300,226,36,32,Best Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Smoggy,EDward Gaming,"breach, kayo, raze",154,1.02,194.0,0.99,73.0,128.0,0.71,0.36,0.09,0.06,29.0,11.0,4/35,19,110,111,56,14,9,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sacy,Sentinels,"fade, gekko, skye, sova",421,0.93,174.0,0.86,73.0,114.0,0.59,0.4,0.06,0.09,24.0,10.0,5/49,23,249,289,169,25,38,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,RieNs,Team Heretics,"breach, gekko, sova",130,1.17,230.0,1.14,78.0,157.0,0.79,0.34,0.11,0.05,36.0,33.0,0/22,22,103,90,44,14,7,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Quick,LOUD,"jett, phoenix, raze, yoru",250,0.94,218.0,1.03,67.0,141.0,0.77,0.16,0.16,0.15,31.0,19.0,3/16,27,193,187,39,41,38,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,N4RRATE,Karmine Corp,"fade, gekko, kayo, raze",157,1.29,246.0,1.27,73.0,164.0,0.84,0.41,0.12,0.1,26.0,21.0,4/19,27,132,104,65,19,16,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Munchkin,Gen.G,"kayo, viper",328,1.07,190.0,1.09,71.0,126.0,0.67,0.4,0.06,0.08,22.0,13.0,7/54,19,220,201,131,20,27,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,johnqt,Sentinels,"cypher, killjoy, viper",421,1.12,198.0,1.17,79.0,131.0,0.7,0.28,0.09,0.04,24.0,18.0,14/80,21,293,251,117,36,18,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,MiniBoo,Team Heretics,"neon, raze, yoru",130,1.17,245.0,1.24,77.0,154.0,0.88,0.28,0.17,0.14,31.0,25.0,3/12,25,114,92,37,22,18,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Meteor,Gen.G,"cypher, jett, killjoy, yoru",328,1.06,230.0,1.14,73.0,152.0,0.82,0.19,0.12,0.13,29.0,13.0,3/24,22,268,236,61,40,41,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,MAGNUM,Karmine Corp,"breach, fade, killjoy, skye",157,1.04,195.0,1.0,69.0,129.0,0.68,0.29,0.1,0.08,23.0,7.0,1/15,18,106,106,45,15,13,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lysoar,FunPlus Phoenix,viper,86,0.79,153.0,0.72,57.0,111.0,0.51,0.2,0.06,0.05,30.0,33.0,0/17,15,44,61,17,5,4,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Life,FunPlus Phoenix,"chamber, jett, reyna",86,1.0,231.0,1.04,64.0,158.0,0.83,0.12,0.15,0.15,39.0,33.0,3/9,25,71,68,10,13,13,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Less,LOUD,"cypher, viper",250,1.22,213.0,1.32,80.0,155.0,0.78,0.32,0.09,0.08,30.0,3.0,1/35,27,195,148,80,23,20,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lakia,Gen.G,"fade, gekko, skye, sova",328,0.8,153.0,0.78,68.0,104.0,0.54,0.27,0.06,0.09,24.0,32.0,9/28,19,177,228,87,21,31,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Karon,Gen.G,"astra, brimstone, omen, viper",328,1.06,207.0,1.06,74.0,140.0,0.74,0.36,0.1,0.06,29.0,16.0,7/45,20,242,229,119,32,19,Normal Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Haodong,EDward Gaming,"cypher, omen, viper",154,0.8,152.0,0.72,69.0,110.0,0.54,0.27,0.06,0.1,27.0,36.0,4/11,19,83,115,41,10,16,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,CHICHOO,EDward Gaming,"brimstone, cypher, killjoy, viper",154,0.89,169.0,0.81,66.0,120.0,0.6,0.23,0.07,0.07,29.0,33.0,0/23,23,93,115,36,11,11,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Boo,Team Heretics,"astra, omen",130,0.87,162.0,0.87,68.0,104.0,0.61,0.36,0.04,0.12,32.0,12.0,2/17,15,79,91,47,5,16,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,BerLIN,FunPlus Phoenix,"astra, harbor, omen",86,0.72,150.0,0.7,65.0,99.0,0.53,0.31,0.13,0.13,36.0,8.0,1/12,14,46,66,27,11,11,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Autumn,FunPlus Phoenix,"jett, phoenix, raze, yoru",86,1.03,232.0,0.96,69.0,154.0,0.79,0.19,0.22,0.08,28.0,33.0,2/6,25,68,71,16,19,7,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,AAAAY,FunPlus Phoenix,"gekko, sova",86,0.71,161.0,0.69,66.0,112.0,0.56,0.27,0.01,0.02,31.0,7.0,1/14,15,48,70,23,1,2,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,marteen,Karmine Corp,"jett, raze, yoru",157,1.03,215.0,1.02,73.0,138.0,0.75,0.2,0.16,0.18,24.0,13.0,1/8,29,118,116,32,25,29,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,nobody,EDward Gaming,"skye, sova",154,0.88,173.0,0.82,66.0,124.0,0.6,0.26,0.07,0.16,33.0,11.0,2/18,20,92,112,40,11,25,Under Perform
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Monyet,Paper Rex,"astra, omen, raze",366,0.87,200.0,0.87,66.0,130.0,0.68,0.3,0.12,0.17,24.0,19.0,7/36,24,250,289,110,45,64,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,xffero,Rex Regum Qeon,"cypher, killjoy",244,0.99,201.0,1.05,70.0,128.0,0.71,0.14,0.09,0.08,31.0,15.0,4/26,23,174,166,33,23,19,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,yay,BLEED,"jett, raze, yoru",294,0.83,190.0,0.83,67.0,126.0,0.64,0.17,0.19,0.22,23.0,25.0,4/16,20,187,225,49,55,66,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Lightningfast,Global Esports,"omen, sage, viper",302,1.05,209.0,1.01,72.0,137.0,0.72,0.37,0.09,0.08,33.0,15.0,4/27,24,217,214,113,26,24,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,t3xture,Gen.G,"jett, omen, raze",627,1.14,235.0,1.2,72.0,154.0,0.84,0.17,0.21,0.13,27.0,17.0,10/59,28,526,437,107,130,84,Best Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,MaKo,DRX,"omen, viper",372,1.16,217.0,1.19,76.0,147.0,0.76,0.35,0.09,0.09,31.0,15.0,5/33,21,281,237,130,34,35,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Lmemore,Rex Regum Qeon,"fade, skye, sova",244,1.07,222.0,1.05,67.0,149.0,0.79,0.23,0.11,0.11,35.0,14.0,3/22,30,192,183,56,26,27,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,yuran,ZETA DIVISION,"gekko, sova, viper",299,1.03,203.0,1.0,68.0,139.0,0.68,0.32,0.07,0.09,27.0,17.0,6/36,19,204,204,95,20,27,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Laz,ZETA DIVISION,"chamber, killjoy, viper",299,1.14,213.0,1.16,71.0,142.0,0.76,0.15,0.15,0.08,26.0,4.0,2/50,22,227,196,46,44,24,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,2ge,Rex Regum Qeon,"omen, viper",40,0.69,122.0,0.7,68.0,82.0,0.48,0.1,0.0,0.08,29.0,33.0,0/6,10,19,27,4,0,3,Under Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Anthem,DetonatioN FocusMe,"fade, gekko, kayo, skye, sova",284,0.9,159.0,0.81,69.0,109.0,0.56,0.36,0.04,0.08,25.0,13.0,5/38,20,160,197,101,12,22,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,BORKUM,Team Secret,"omen, viper",382,1.01,187.0,0.97,72.0,121.0,0.66,0.32,0.08,0.05,23.0,21.0,9/43,19,251,258,124,29,21,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,BeYN,DRX,"astra, brimstone, gekko, omen, sova, yoru",372,1.15,200.0,1.16,79.0,132.0,0.73,0.39,0.05,0.06,29.0,19.0,8/43,25,270,233,144,20,22,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Benkai,Global Esports,"cypher, killjoy, viper",302,0.89,166.0,0.89,69.0,118.0,0.59,0.16,0.06,0.07,24.0,2.0,1/47,20,177,200,49,17,20,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,BuZz,DRX,"jett, raze",372,1.02,231.0,1.07,73.0,147.0,0.78,0.15,0.18,0.19,23.0,14.0,3/22,25,290,271,54,67,70,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Carpe,T1,"fade, gekko, skye, sova",531,0.89,169.0,0.85,72.0,112.0,0.61,0.33,0.06,0.08,26.0,8.0,4/53,24,322,380,173,33,40,Best Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Medusa,DetonatioN FocusMe,"omen, viper",284,0.9,187.0,0.87,71.0,122.0,0.63,0.27,0.1,0.13,31.0,8.0,3/39,19,178,204,78,29,38,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Crws,Talon Esports,"breach, fade, gekko, kayo, sova, viper",339,0.9,159.0,0.86,69.0,108.0,0.56,0.27,0.04,0.07,26.0,16.0,6/37,23,190,221,92,15,23,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Deryeon,BLEED,"breach, gekko, jett, kayo, killjoy",294,0.84,170.0,0.8,72.0,112.0,0.59,0.27,0.08,0.09,30.0,3.0,1/37,18,173,217,80,24,27,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Estrella,Rex Regum Qeon,"omen, viper",204,0.84,157.0,0.79,75.0,106.0,0.54,0.39,0.05,0.07,27.0,9.0,3/32,15,110,140,79,11,14,Under Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Foxy9,DRX,"cypher, killjoy",372,1.08,191.0,1.17,74.0,126.0,0.72,0.21,0.07,0.08,32.0,22.0,13/60,24,269,229,77,27,29,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Governor,Talon Esports,"jett, neon, raze",339,0.95,199.0,1.0,68.0,133.0,0.71,0.15,0.16,0.17,24.0,20.0,6/30,22,239,240,52,55,56,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Jemkin,Rex Regum Qeon,"jett, raze",244,1.17,236.0,1.26,75.0,152.0,0.85,0.13,0.14,0.16,33.0,13.0,3/23,26,208,165,31,33,39,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,JessieVash,Team Secret,"breach, fade, skye, sova",382,0.99,191.0,0.99,70.0,129.0,0.68,0.31,0.07,0.06,27.0,14.0,6/43,26,259,262,119,26,24,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Jinggg,Paper Rex,"raze, sage",494,1.1,234.0,1.17,77.0,154.0,0.81,0.24,0.13,0.09,21.0,18.0,7/38,24,402,345,119,65,45,Best Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,JitBoyS,Talon Esports,"harbor, omen, viper",339,1.1,199.0,1.09,73.0,134.0,0.73,0.34,0.08,0.08,37.0,22.0,11/49,29,246,226,114,28,27,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Jremy,Team Secret,"jett, raze",382,1.08,247.0,1.12,75.0,158.0,0.82,0.2,0.23,0.24,22.0,20.0,7/35,30,315,282,78,89,92,Best Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Karon,Gen.G,"astra, brimstone, omen, viper",627,1.04,189.0,1.02,73.0,120.0,0.67,0.42,0.07,0.08,30.0,14.0,9/65,25,420,412,263,42,49,Best Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Lakia,Gen.G,"fade, gekko, skye, sova, viper",627,0.92,169.0,0.86,73.0,117.0,0.58,0.36,0.05,0.08,26.0,13.0,9/67,19,361,419,227,33,49,Best Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Dep,ZETA DIVISION,"jett, neon, phoenix, raze, yoru",299,1.08,235.0,1.1,72.0,152.0,0.82,0.22,0.15,0.15,28.0,25.0,5/20,29,245,222,66,44,46,Normal Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,xccurate,T1,"chamber, cypher, harbor, killjoy, omen",531,0.96,186.0,1.0,70.0,123.0,0.7,0.17,0.08,0.09,27.0,10.0,7/69,21,372,371,91,41,47,Best Perform
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Meiy,DetonatioN FocusMe,"raze, yoru",284,1.02,238.0,1.04,67.0,155.0,0.83,0.16,0.19,0.18,26.0,8.0,1/12,29,236,227,45,54,52,Normal Perform
